;energy;liveness;speechiness;acousticness;instrumentalness;danceability;valence;uri;song_names;artist
40;0.629;0.0857;0.0433;0.767;0.0048200000000000005;0.525;0.303;spotify:track:6O0rKdBY8tuIIqVfqtlnHL;La Teva Veu;Joan Dausà
41;0.723;0.12;0.0752;0.187;0.5489999999999999;0.6829999999999999;0.319;spotify:track:7j6DqnrZpLKdpfX8wcb233;Three Sides of Nazareth;Nicolas Jaar
42;0.657;0.0713;0.105;0.264;0.00619;0.863;0.8290000000000001;spotify:track:1LzguIGcb1qtA1Kw9pfwAP;No Roots;Alice Merton
43;0.2;0.105;0.0403;0.887;0.00857;0.217;0.1;spotify:track:0PZgWJCQF4L4AZBXSI27Ws;Ara Som Gegants;Joan Dausà
44;0.597;0.26;0.0348;0.307;0.013999999999999999;0.608;0.6759999999999999;spotify:track:7fMUp59CqXoGYigVK2FbVl;Obriu-me el Cap;Joan Dausà
45;0.29600000000000004;0.11199999999999999;0.0384;0.684;0.0573;0.496;0.15;spotify:track:56kl39mP1eo6ZcmJaiC2RS;Caure No Feia Mal;Joan Dausà
46;0.7909999999999999;0.135;0.0449;0.0369;0.0;0.675;0.961;spotify:track:4Ews3V2EE9m2KmBxR0MNri;La Gran Eufòria;Joan Dausà
47;0.73;0.142;0.0433;0.569;1.33e-06;0.426;0.655;spotify:track:1ytfO7s2XcIWiSU5lqNyqx;Tanca els Ulls;Joan Dausà
48;0.272;0.0899;0.0294;0.61;0.000816;0.491;0.0971;spotify:track:4x4RVWFnzQrvSwwG351I1p;Nàufrags;Joan Dausà
49;0.275;0.0962;0.0308;0.828;0.000295;0.34600000000000003;0.218;spotify:track:73dgyDBCxA0dhoCs1ReTDj;Quan Tot És Cert;Joan Dausà
0;0.43799999999999994;0.225;0.0328;0.39299999999999996;0.00187;0.493;0.43200000000000005;spotify:track:0qaWxVVd3KrP4WY27KWpIe;In a River;Rostam
1;0.512;0.449;0.0393;0.503;0.0172;0.6559999999999999;0.9079999999999999;spotify:track:13b7DXwrTyOnYOzYXIOHMt;Pa'lante;Salomón Beda
2;0.138;0.107;0.0419;0.865;0.00313;0.6579999999999999;0.39799999999999996;spotify:track:6n50vexd6yBNvSOc6QHT5X;The Girl From Ipanema;Stan Getz
3;0.6779999999999999;0.105;0.0561;0.0333;0.00123;0.8109999999999999;0.426;spotify:track:2FhN2KhUvT91Q3Er4v9Qpd;Coastin';Zion I
4;0.8170000000000001;0.0884;0.133;0.29600000000000004;0.00336;0.61;0.889;spotify:track:0DfG1ltJnZyq4Tx3ZLL7ZU;Rock Me Amadeus - The Gold Mix;Falco
5;0.625;0.122;0.0355;0.0804;0.0;0.818;0.9590000000000001;spotify:track:0r1kH7SIkkPP9W7mUknObF;Easy;Cro
6;0.59;0.0851;0.0395;0.129;0.00847;0.764;0.281;spotify:track:5LciLoxa1gK70yIUeoHgRx;To My Love - Tainy Remix;Bomba Estéreo
7;0.613;0.10800000000000001;0.0353;0.0752;0.7859999999999999;0.6970000000000001;0.214;spotify:track:1kCpiMC5axrHlYNrvZjrEJ;Burns - Moby Remix (Edit);George FitzGerald
8;0.55;0.273;0.0428;0.02;0.899;0.765;0.218;spotify:track:337GOwUkPisx8pCL7jFBeD;FACES;The Blaze
9;0.42700000000000005;0.10300000000000001;0.0552;0.607;0.447;0.5870000000000001;0.134;spotify:track:3NAS6MitFvREpnYQ3JalFr;Strobe Lights;Kilian & Jo
10;0.778;0.0753;0.0459;0.0712;1.23e-06;0.583;0.6729999999999999;spotify:track:2bVb4JtkhgZk7a8W3f3tOr;Icarus;Bastille
11;0.526;0.107;0.0374;0.0637;0.000459;0.8170000000000001;0.606;spotify:track:39Yi5kzFTB5AsTy0I81aB9;Mamita (feat. Natalia Lafourcade);Rawayana
12;0.434;0.0999;0.0302;0.83;3.62e-06;0.7879999999999999;0.585;spotify:track:7Li9u5C7CNLvqOqhrhZEML;Dulcito e Coco;Vicente Garcia
13;0.882;0.156;0.0413;0.0141;0.00527;0.586;0.40299999999999997;spotify:track:5NToxqZa79VhZaQLRE6omu;When Doves Cry;Alex Clare
